"","X","CASE_STATUS","EMPLOYER_NAME","SOC_NAME","JOB_TITLE","FULL_TIME_POSITION","PREVAILING_WAGE","YEAR","WORKSITE","lon","lat"
"1",1413813,"CERTIFIED","ROBUSTWARE INC.","Computer Programmers","PROGRAMMER ANALYST","Y",45282,2014,"DALLAS, TEXAS",-96.7969879,32.7766642
"2",2695507,"DENIED","THE BLIND SQUIRREL, LLC","Employment, Recruitment, and Placement Specialists","RECRUITMENT AND TRAINING DIRECTOR","Y",65957,2011,"EDINA, MINNESOTA",-93.3499489,44.8896866
"3",2286512,"CERTIFIED","DGN TECHNOLOGIES INC","Computer Systems Analysts","PROGRAMMER ANALYST","Y",79102,2012,"SANTA CLARA, CALIFORNIA",-121.9552356,37.3541079
"4",1945146,"CERTIFIED","RUCKUS WIRELESS, INC.","Software Developers, Applications","TECHNICAL MARKETING ENGINEER","Y",84802,2013,"SUNNYVALE, CALIFORNIA",-122.0363496,37.36883
"5",1600085,"CERTIFIED","DELOITTE CONSULTING LLP","Computer Systems Analysts","ASSOCIATE 5","Y",44970,2014,"INDIANAPOLIS, INDIANA",-86.158068,39.768403
"6",2559969,"CERTIFIED","APTITUDE MEDICAL SYSTEMS, INC.","Biological Scientists, All Other","RESEARCH SCIENTIST","N",70886.4,2012,"SANTA BARBARA, CALIFORNIA",-119.6981901,34.4208305
"7",395567,"CERTIFIED","INTEL CORPORATION","SOFTWARE DEVELOPERS, APPLICATIONS","APPLICATION DEVELOPER","Y",98222,2016,"SANTA CLARA, CALIFORNIA",-121.9552356,37.3541079
"8",2027725,"CERTIFIED","FOXCODE INC.","Marketing Managers","VICE PRESIDENT OF BUSINESS DEVELOPMENT","Y",140587,2013,"PHILADELPHIA, PENNSYLVANIA",-75.1652215,39.9525839
"9",282388,"CERTIFIED-WITHDRAWN","LANDIS+GYR INC.","SOFTWARE DEVELOPERS, APPLICATIONS","SOFTWARE APPLICATIONS ENGINEER I","N",53664,2016,"LAFAYETTE, INDIANA",-86.8752869,40.4167022
"10",66126,"CERTIFIED-WITHDRAWN","JEFFERIES LLC","FINANCIAL ANALYSTS","INVESTMENT BANKING ANALYST","N",51813,2016,"CHARLOTTE, NORTH CAROLINA",-80.8431267,35.2270869
"11",2333282,"CERTIFIED","PRICEWATERHOUSECOOPERS, LLP","Computer Systems Analysts","SENIOR ASSOCIATE (ADVISORY)","Y",69472,2012,"ATLANTA, GEORGIA",-84.3879824,33.7489954
"12",1685092,"CERTIFIED","INFOSYS LIMITED","Computer Systems Analysts","TECHNOLOGY LEAD - US","Y",76149,2014,"DOWNINGTOWN, PENNSYLVANIA",-75.7032742,40.0064958
"13",2452677,"CERTIFIED","AVERA MCKENNAN","Physicians and Surgeons, All Other","PULMONARY/CRITICAL CARE PHYSICIAN","Y",166400,2012,"SIOUX FALLS, SOUTH DAKOTA",-96.7311034,43.5445959
"14",1173700,"CERTIFIED","INFOSYS LIMITED","COMPUTER OCCUPATIONS, ALL OTHER","TECHNICAL TEST LEAD - US","Y",75379,2015,"LONE TREE, COLORADO",-104.8970678,39.536482
"15",2862139,"CERTIFIED","INSTRUMENTAL SERVICES, INC.","Computer Programmers","COMPUTER PROGRAMMER","Y",65582,2011,"HOBOKEN, NEW JERSEY",-74.0323626,40.7439905
"16",911548,"WITHDRAWN","KEYSTONE LOGIC INC.","COMPUTER OCCUPATIONS, ALL OTHER","SENIOR SOFTWARE TEST ENGINEER","Y",82077,2015,"ALPHARETTA, GEORGIA",-84.2940899,34.0753762
"17",918499,"CERTIFIED","A1 KAISER INC","COMPUTER PROGRAMMERS","COMPUTER PROGRAMMERS","Y",62234,2015,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
"18",1756030,"CERTIFIED","DAL-TILE CORPORATION","Market Research Analysts and Marketing Specialists","MOHAWK CERAMIC ASSISTANT PRODUCT MANAGER","Y",66477,2014,"DALLAS, TEXAS",-96.7969879,32.7766642
